List of DATACENTER
DATACENTER_ID;DATACENTER_NAME
datacenter-2;FOCHCRAFT
 
List of HOSTS
DATACENTER_ID;DATACENTER_NAME;ESXI_ID;ESXI_NAME;ESXI_POWER
datacenter-2;FOCHCRAFT;host-1460;esxi-01.fochcraft.local;POWERED_ON
datacenter-2;FOCHCRAFT;host-1471;esxi-02.fochcraft.local;POWERED_ON
datacenter-2;FOCHCRAFT;host-3034;esxi-04.fochcraft.local;POWERED_ON
datacenter-2;FOCHCRAFT;host-3342;esxi-05.fochcraft.local;POWERED_ON
 
List of DATASTORE
DATACENTER_ID;DATACENTER_NAME;DATASTORE_ID;DATASTORE_NAME;DATASTORE_TYPE;DATASTORE_SIZE;DATASTORE_FREE
datacenter-2;FOCHCRAFT;datastore-1461;SSD-ESXI-01;VMFS;469 GB;97 GB
datacenter-2;FOCHCRAFT;datastore-1472;SSD-ESXI-02;VMFS;216 GB;139 GB
datacenter-2;FOCHCRAFT;datastore-3035;HDD-ESXI-04;VMFS;924 GB;836 GB
datacenter-2;FOCHCRAFT;datastore-3343;SSD-ESXI-05;VMFS;104 GB;76 GB
datacenter-2;FOCHCRAFT;datastore-5105;VeeamBackup_srv-backup.fochcraft.local;NFS;34 GB;7 GB
 
List of VMs
DATACENTER_ID;DATACENTER_NAME;ESXI_ID;ESXI_NAME;VM_ID;VM_NAME;VM_VERSION;VM_GUEST_OS;VM_CPU;VM_MEMORY;VM_DISK;VM_NETWORK;VM_POWER
datacenter-2;FOCHCRAFT;host-1460;esxi-01.fochcraft.local;vm-1467;SRV-BACKUP;VMX_15;WINDOWS_9_SERVER_64;4 VCPU;3 GB;HDD: 1 SIZE: 35 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-1460;esxi-01.fochcraft.local;vm-1480;SRV-DOCKER01;VMX_15;DEBIAN_10_64;8 VCPU;5 GB;HDD: 1 SIZE: 100 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-1460;esxi-01.fochcraft.local;vm-4276;QRADAR_JUIL;VMX_15;RHEL_7_64;4 VCPU;16 GB;HDD: 1 SIZE: 290 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-1460;esxi-01.fochcraft.local;vm-5108;MISP;VMX_15;UBUNTU_64;2 VCPU;3 GB;HDD: 1 SIZE: 24 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-1471;esxi-02.fochcraft.local;vm-2601;VCENTER;VMX_15;OTHER_3X_LINUX_64;4 VCPU;6 GB;HDD: 13 SIZE: 279 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-3034;esxi-04.fochcraft.local;vm-1465;SRV-SYSLOG;VMX_15;DEBIAN_10_64;2 VCPU;2 GB;HDD: 1 SIZE: 60 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-3034;esxi-04.fochcraft.local;vm-1466;BASTION;VMX_15;DEBIAN_10_64;2 VCPU;4 GB;HDD: 1 SIZE: 20 GB;NICS: 1;POWERED_ON
datacenter-2;FOCHCRAFT;host-3342;esxi-05.fochcraft.local;vm-1572;PFSENSE;VMX_15;FREEBSD_12_64;4 VCPU;7 GB;HDD: 1 SIZE: 40 GB;NICS: 3;POWERED_ON
 
 
Number of DATACENTER: 1
Number of HOST: 4
Number of DATASTORE: 5
Number of VMs: 8
